CCLE-ID,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
A172_CENTRAL_NERVOUS_SYSTEM,0.966562677,0,0,0,0,0.93642465,0,0,0,0,0,0,0,0,0,0,0.9961355,0.98732902,0.543597817,0,0.683647424,0.433173955,0.964632642,0
A204_SOFT_TISSUE,0.996290515,0.356211007,0.24062556,0,0,0.97914573,0,0,0.075020909,0.864750698,0,0.346168144,0,0.522402406,0,0,0.999183957,0.99702324,0.95859056,0.933642648,0.667585135,0.920060493,0.947577119,0.795475051
A2058_SKIN,0.994687883,0.310863614,0,0.37044096,0,0.981846893,0,0,0,0,0,0.974637594,0,0,0,0,0.999642103,0.991417512,0.311128259,0,0.384034753,0.296811819,0.961689189,0
A253_SALIVARY_GLAND,0.957556892,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.999554137,0.99209879,0.672934085,0,0,0,0.989530894,0
A2780_OVARY,0.996111263,0.186387003,0,0.802547887,0,0.992276994,0.191110194,0,0.106665313,0.149413228,0.491783798,0.991975366,0,0.619691104,0,0,0.99941889,0.993132862,0.843711302,0.499308229,0.81318824,0.82562843,0.99201717,0.687449008
A375_SKIN,0.978782846,0.655572057,0,0.986646139,0,0.981730513,0,0,0,0,0,0.999065407,0,0.263092279,0,0.967714038,0.999106293,0.994153921,0.922165349,0.081110776,0.865764931,0.544753194,0.959399961,0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
A498_KIDNEY,,,,,,,,,,,,,,,,,,,,,,,,
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
A549_LUNG,0.991654783,0.755651638,0,0.734737724,0,0.948449973,0,0,0.471594215,0.245138288,0,0.978557086,0,0.277229726,0,0,0.999375026,0.99391953,0.875645444,0.153115988,0.795280159,0.521594673,0.882702209,0
A673_BONE,0.975230936,0.85904035,0,0,0,,0,0,0,,0,0,0,0.716336519,0,0,0.9996875,0.995417026,0.898788542,0,0.84451592,0,0.995378637,0.382016003
A704_KIDNEY,,,,,,,,,,,,,,,,,,,,,,,,
ABC1_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
ACCMESO1_PLEURA,,,,,,,,,,,,,,,,,,,,,,,,
ACCS_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
ACHN_KIDNEY,0.915217385,0.040886343,0.453380704,0,0.375363588,,0,0,0,,0,0,,0,0,0,0.988104845,0.994283403,0.960294314,0,0.629943699,0.362519205,0.987238381,0.757021621
AGS_STOMACH,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDERCELLS_LIVER,,,,,,,,,,,,,,,,,,,,,,,,
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.910705797,0.680187941,0.973820148,0,0.133707702,0.997113838,0.958587378,0,0.088813782,0.999630987,0,0,0,0.899907969,0.440252066,0.132082641,0.9996875,0.999087285,0.850468203,0.666941077,0.884230986,0.67557618,0.998916881,0.894288197
AM38_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.996819822,0.975686257,0,0,0,0.983951103,0.514979214,0,0.967944169,0.721693039,0.317700028,0.907514341,0,0.394858062,0.474233866,0,0.999195706,0.998337051,0.702272594,0.136418283,0.951842867,0.659276873,0.991911132,0.516949654
AN3CA_ENDOMETRIUM,0.990708231,0,0,0,0,,0,0,0,0,0,0,0.118132293,0,0,0,0.998931835,0.985334735,0.481811225,0,0,0.446978509,0.384394229,0.8124118
ASPC1_PANCREAS,0.990961224,0.821528152,0,0.841052786,0,0.900992207,0,0,0.65179656,0,0,0.982726704,0,0.301377058,0,0,0.997957835,0.995258546,0.882948808,0,0.846980229,0.392529607,0.706112355,0.626574457
AU565_BREAST,0.997081425,0,0,0,0,,0.617491512,0,0.97709881,0.015100658,0,0,0.054462195,0,0,0,0.999349579,0.995950002,0.588039845,0,0,0.076227903,0.983034128,0
AZ521_STOMACH,0.96054785,0.85593614,0.932319745,0,0.626769424,0.993920744,0.495028973,0,0.792510197,0,0.733602494,0.448319197,0,0.957559396,0,0,0.999584378,0.995408287,0.887628488,0.027787805,0.885757387,0.803790614,0.972700138,0.688909978
BC3C_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
BCPAP_THYROID,0.973671326,0.361843169,0,0,0,0.974917725,0,0,0,0.067989111,0,0.799404994,0,0,0,0,0.9996875,0.988955317,0.910552032,0.73257333,0.777259067,0.002002716,0.952895731,0
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.974456953,0.378420681,0.921752945,0.941867318,0,,0,0,0,0,0,0.959406823,0.760424078,0,0,0,0.999595141,0.989562528,0.106569231,0,0,0.232651532,0.988780377,0.878575176
BECKER_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
BEN_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
BFTC905_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BFTC909_KIDNEY,0.986918417,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.998473189,0.989480273,0,,0.096368909,0.150966704,0.964814179,0
BGC823_STOMACH,0.992655136,0.70031786,0,0,0,0.855290681,0,0,0,0,0,0,0,0.511224449,0,0,0.9996875,0.996413896,0,0,0.882388257,0.49885422,0.569378287,0
BHT101_THYROID,,,,,,,,,,,,,,,,,,,,,,,,
BHY_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR16_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR18_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR22_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR31_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR56_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BICR6_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
BJHTERT_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.904451311,0,0,0,0,0.993994075,0,0,0.26300174,0,0,0,0,0.144932687,0,0,0.999649551,0.994851932,0.11419487,0,0,0.375267625,0.981562194,0
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.964451257,0,0.788870111,0,0,0.994242599,0,0,0,0,0,0,0.433861375,0.492634058,0.191818178,0,0.998772176,0.9984065,0.352342427,0,0,0.563698441,0.992726323,0.742288977
BT20_BREAST,0,0,0.118100225,0,0,0.966360714,0,0,0,0,0,0,0,0,0,0,0.999682173,0.99286499,0,0,0.04670316,0,0.86228092,0.542116046
BT474_BREAST,0.994409158,0,0.613281339,0,0,,0.441488922,0,0.985477096,0.138432384,0,0,0,0,0.14392066,0,0.997930422,0.997617719,0,0.192131162,0,0,0,0
BT483_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
BT549_BREAST,0.997450346,0.319343627,0,0,0,0.984404855,0,0,0,0,0,0,0,0.053910077,0,0,0.999355507,0.985649853,0.855515033,0.198913157,0.325536668,0.511149377,0.990088207,0.486936033
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
BXPC3_PANCREAS,0.976582972,0.646958143,0.653481066,0,0,,0,0,0.425026715,,0,0.968446095,,0,0,0.624912918,0.998714524,0.986202389,,0,0.348650754,0.144393981,0.953038067,0
C2BBE1_LARGE_INTESTINE,0.902867787,0.612740368,0.87684124,0,0,,0,0,0.487581909,0.147372365,0,0,0,0,0,0,0,0.993194926,0,0,0.804560721,0,0.450290263,0.817779884
C32_SKIN,0.999165807,0.20567739,0,0.829979628,0,0.795399636,0,0,0,0,0,0.98880964,0,0,0,0.724127799,0.987508757,0.925336823,0,0,0,0,0.96530316,0
C3A_LIVER,0.996534025,0.600634701,0,0,0,,0,0,0,,0,0.914058201,0,0,0,0,0,0.995854131,0.561224997,0,0,0,0.84028177,0.545244122
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
CADOES1_BONE,,,,,,,,,,,,,,,,,,,,,,,,
CAKI1_KIDNEY,,,,,,,,,,,,,,,,,,,,,,,,
CAKI2_KIDNEY,0.947451338,0,0.621358305,0,0.352143407,0.697802961,0,0,0,0,0,0.621585101,0,0,0,0,0.998407136,0.987129508,0.885527253,0,0,0.098102391,0.691162229,0.662485898
CAL120_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
CAL12T_LUNG,0.977019871,0.900565431,0.788090274,0.585303247,0.925602444,,,0,0.756041706,,0,0.961368285,,0.558310241,0,0.258003354,0.999238977,0.993557088,,0.029697597,0.913706303,0.851728544,0.779234842,0.912649997
CAL148_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
CAL27_UPPER_AERODIGESTIVE_TRACT,0.979147652,0.326540947,0.852437496,0.945252873,0.969052877,,0,0,0.913903594,,0,0.983263737,0,0.365294337,0,0,0.999665279,0.993522354,0.667942405,0,0.519207627,0.098794878,0.985060738,0.941815499
CAL29_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
CAL33_UPPER_AERODIGESTIVE_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
CAL51_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
CAL54_KIDNEY,,,,,,,,,,,,,,,,,,,,,,,,
CAL62_THYROID,,,,,,,,,,,,,,,,,,,,,,,,
CAL78_BONE,0.987551666,0.309761763,0,0,0,0.964285951,0,0,0,0,0,0,0,0.024271786,0,0,0.999301858,0.989890915,0,0,0.558228821,0.657518923,0.934517562,0
CAL851_BREAST,0.978082512,0.714855433,0.802417412,0.62321505,0.891185694,0.967199128,0,0.360331655,0.762556478,0,0,0.915058345,0,0,0,0,0.997953941,0.99641874,0.918663219,0,0,0,0.923808552,0.896593027
CALU1_LUNG,0.987063302,0,0,0,0,0.766836152,0,0,0,0,0,0,0,0,0,0,0.997413977,0.980711866,0.79047592,0,0.135170341,0.000714064,0.747566819,0
CALU3_LUNG,0.788892821,0.034411192,0.893322446,0,0.596792698,,0,0,0.93817655,0,0,0.616935313,0,0,0,0,0,0.994206579,0,0,0.285212815,0,0.942609109,0.72208184
CALU6_LUNG,0.977065364,0.690445006,0.411750436,0.541996479,0.024001956,,,0,0,,0,0.979732543,,0.509079844,0,0.8988228,0.999560847,0.990509878,,0,0.902933419,0.209098816,0.879083343,0
CAMA1_BREAST,0.982369348,0,0,0,0,0.956791133,0.176819801,0,0,0.208491147,0,0,0,0,0,0,0.998644246,0.99629837,0.232203484,0,0,0,0,0
CAOV3_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
CAOV4_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
CAPAN1_PANCREAS,,,,,,,,,,,,,,,,,,,,,,,,
CAPAN2_PANCREAS,0.994234279,0.945906694,0.862054363,0.937034056,0,0.89055872,0,0,0,0.992131902,0,0.990267754,0,0.973164682,0,0,0.999682173,0.991433581,0.854798557,0,0.916072637,0,0.848568037,0
CAS1_CENTRAL_NERVOUS_SYSTEM,0.872558907,0,0,0,0,0.902679592,0,0,0,0,0,0,0,0,0,0,0.996840517,0.988047879,0,0,0.448564887,0,0.7818643,0
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
CCK81_LARGE_INTESTINE,0.967090614,0.708847039,0.915441103,0,0.914416552,,0,0,0.969975645,,0,0.910029739,,0,0,0,0.965745904,0.995231739,0,0,0.728766978,0,0.960501764,0.904586248
CFPAC1_PANCREAS,,,,,,,,,,,,,,,,,,,,,,,,
CGTHW1_THYROID,,,,,,,,,,,,,,,,,,,,,,,,
CH157MN_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
CHAGOK1_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CHL1_SKIN,0.979272526,0.102249265,0.242070675,0,0.618778616,0.966840431,0,0,0.915500835,0,0,0,0,0,0,0,0.999104946,0.997721588,0.966612466,0.104838252,0.599644184,0.673696876,0.924614206,0.495896995
CHP126_AUTONOMIC_GANGLIA,,,,,,,,,,,,,,,,,,,,,,,,
CHP212_AUTONOMIC_GANGLIA,0.996275898,0.804995567,0.582984299,0.998556709,0,,0,0,0,,0,0.999277495,,0.55976665,0,0,0.999040825,0.998371032,0.623278707,0,0.730424374,0.519278549,0.914329737,0
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.940100499,0,0,0,0,0.995689894,0,0,0,0,0,0,0.781263629,0,0,0,0.9994554,0.994682903,0.973941998,0,0,0.9825049,0.994696771,0.691081554
CJM_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
CL11_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
CL14_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
CL34_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
CL40_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.959683992,0.539173514,0,0,0,0.984170975,0,0,0,0,0,0,0.068523504,0.586353034,0.435285866,0,0.998085669,0.998458033,0,0.301623881,0.899202824,0.618169069,0.993945535,0
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
COLO201_LARGE_INTESTINE,0.994146013,0.552154332,0,0.990426121,0,,0,0,0,0,0,0.999202656,0.814694509,0.263352573,0,0.921792604,0.998021175,0.995870085,0.945615824,0,0.775820747,0.338516772,0.915599436,0
COLO205_LARGE_INTESTINE,0.998155444,0.662314743,0,0.99382635,0,,0.188060105,0,0,0,0,0.99924983,0.101076245,0.542678416,0,0.95072107,0.999682173,0.995093003,0.92421478,0.555027664,0.89313218,0.278095245,0.991342165,0
COLO320_LARGE_INTESTINE,0.803853899,0.818715215,0,0,0,0.955113925,0,0,0.213086009,0.376092434,0,0,0.145943523,0.163395822,0,0,0.960434962,0.991621256,0.966387577,0.165834069,0.95875562,0.605007798,0.928730287,0
COLO668_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
COLO677_LUNG,0.970240805,0,0,0,0,0.970370354,0.08333838,0,0.08243674,0.156090021,0,0.75439094,0.87506143,0.524196535,0,0,0.9996875,0.996341954,0.63460961,0.374585867,0.743221581,0.40251565,0.96579691,0
COLO678_LARGE_INTESTINE,0.994954805,0.018544257,0,0,0,0.735811323,0,0,0,0,0,0.971526962,0,0,0,0,0,0.981314985,0.127644837,0.024271786,0.444807947,0,0.65093261,0
COLO679_SKIN,0.992167913,0,0,0.98458208,0,0.927629225,0,0,0,0.080263436,0.127256155,0.99843635,0,0,0.089163661,0.930729337,0.998893419,0.996303201,0.916952431,0,0,0,0.870981082,0
COLO680N_OESOPHAGUS,,,,,,,,,,,,,,,,,,,,,,,,
COLO684_ENDOMETRIUM,,,,,,,,,,,,,,,,,,,,,,,,
COLO699_LUNG,0.957955338,0.723351181,0,0,0,0.962354265,0.142762601,0,0.3831352,0.581077337,0,0,0,0.796260381,0.168247424,0,0.996632278,0.986295546,0.890183166,0.567369223,0.85364078,0.823190033,0.927365258,0
COLO704_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
COLO741_SKIN,0.815018728,0.582009435,0,0.66561845,0.096257865,,0,0,0,,0,0.972783048,,0,0,0.495036721,0.997493029,0.986279537,,0,0,0.288892746,0.938383244,0
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
COLO783_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
COLO792_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
COLO800_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
COLO818_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
COLO829_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
COLO849_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
CORL105_LUNG,0.889091358,0,0,0,0.788379803,,0,0,0,,0,0.850615144,,0,0,0,0.984126171,0.966173649,0.293682993,0,0,0,0.580349505,0.629152656
CORL23_LUNG,0.923876405,0,0,0,0,0.938522227,0,0,0,0,0,0,0,0,0,0,0.996005549,0.984471551,0.194755197,0.418176234,0.047713101,0,0.871147454,0
CORL24_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL279_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL311_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL47_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL51_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL88_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CORL95_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
COV318_OVARY,0,0,0,0,0,0.846143469,0,0,0,0.039146185,0,0,0,0,0,0,0,0.980242537,0,0,0.415345013,0,0.739698798,0
COV362_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
COV434_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
COV504_OVARY,0.956570201,0.061883271,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.997601304,0.986755032,0.774331555,0,0.741003096,0,0.754073799,0
COV644_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
CPCN_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
CW2_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
D283MED_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
D341MED_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
DANG_PANCREAS,,,,,,,,,,,,,,,,,,,,,,,,
DAOY_CENTRAL_NERVOUS_SYSTEM,0.940260395,0,0,0,0,0.976302518,0,0,0,0,0,0,0,0,0,0,0.998631839,0.995339426,0,0,0,0,0.988660995,0
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.965499286,0,0,0.958780956,0,0.989369481,0,0,0,0,0,0,0,0,0,0.668385893,0.997279919,0.982524931,0.964191463,0.366687059,0.527292818,0,0.954364423,0
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.995606871,0.321462929,0.5207856,0,0,0.998573176,0.973656649,0,0.137902796,0.216944814,0,0,0.73907426,0.974311357,0.753218517,0,0.9996875,0.997881139,0.951250538,0.46156472,0.998796934,0.464402556,0.997639684,0
DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.970126297,0,0.636736363,0,0,,0,0,0,0,0,0,0.603189349,0,0,0,0.998337459,0.988097899,0.151866138,0,0,0,0.632368773,0.610580832
DFCI024_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DKMG_CENTRAL_NERVOUS_SYSTEM,0.960009057,0,0,0,0,0.926877141,0,0,0,0,0,0,0,0,0,0,0.997519195,0.988361155,0,0,0,0,0.765106916,0
DLD1_LARGE_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,
DM3_PLEURA,,,,,,,,,,,,,,,,,,,,,,,,
DMS114_LUNG,0.913098358,0.893561438,0,0,0,,0.092041433,0,0,0.24266845,0,0,0,0.232014716,0,0,0.999277084,0.993816194,0.560692191,0.020893455,0.888210446,0.367066383,0.979271252,0
DMS153_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DMS273_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DMS454_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DMS53_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DMS79_LUNG,,,,,,,,,,,,,,,,,,,,,,,,
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.948789369,0.847416789,0,0,0,0.988174988,0.922013033,0,0.786672166,0,0.675541312,0,0.493970702,0,0.668543756,0,0.999682173,0.998204646,0.857232854,0.991681201,0.903902374,0.89495859,0.967589311,0.52006873
DOV13_OVARY,0.956211127,0.370566666,0,0,0,0.989748448,0,0,0,0,0,0,0,0,0,0,0.999418139,0.993422784,0.756562069,0.551713824,0.303156316,0.55389151,0.976452027,0
DU145_PROSTATE,0.994378845,0.164731324,0.56851083,0,0.324894011,0.975187903,0,0,0,0,0,0,0,0.111837626,0,0,0.99898966,0.996965248,0.961642079,0,0.663862228,0.649567902,0.948700395,0.669154227
DU4475_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
DV90_LUNG,0.984882515,0,0,0.869994268,0,,0,0.990387649,0,,0,0.991808217,,0,0,0,0.999051361,0.994641823,,0,0.835052119,0,0.974954687,0.318663657
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.898402222,0,0.513471812,0,0,,0,0,0,0,0,0,0,0,0,0,0.998379245,0.973600047,0.828874207,0,0,0,0.960510258,0.816176349
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.780486077,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.997722498,0.963598568,0,0,0,0,0.981999345,0
EBC1_LUNG,0.99765634,0.354477942,0.403350294,0.907693178,0,0.984499913,0,0,0.203453481,0,0,0.994257086,0,0.995109634,0.966093008,0,0.9996875,0.994437258,0,0,0.719469607,0,0.98834165,0.489687145
ECC10_STOMACH,,,,,,,,,,,,,,,,,,,,,,,,
ECC12_STOMACH,,,,,,,,,,,,,,,,,,,,,,,,
ECGI10_OESOPHAGUS,,,,,,,,,,,,,,,,,,,,,,,,
EFE184_ENDOMETRIUM,0.951577298,0,0.641592026,0,0,0.886242479,0,0,0,0,0,0,0,0,0,0,0,0.981902858,0.207943797,0,0,0,0.71321249,0
EFM192A_BREAST,,,,,,,,,,,,,,,,,,,,,,,,
EFM19_BREAST,0.992737042,0,0.330913186,0,0,0.884713709,0,0.958998203,0,0,0,0,0,0.043314278,0.069190979,0,0.998862709,0.996474418,0.725307643,0,0,0,0.83890681,0.455718458
EFO21_OVARY,0.963929772,0,0,0,0,0.910735972,0,0,0,0,0,0,0,0,0,0,0.996213597,0.978977507,0.790231153,0.385254204,0.815730617,0,0.930972591,0.638267726
EFO27_OVARY,0.95420501,0,0.797901779,0,0,0.935027584,0,0,0,0,0,0,0,0,0,,0.997412705,0.997447485,0.934345327,0,0,0,0.860693604,
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,,,,,,,,,,,,,,,,,,
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.983707916,0,0.973756529,0.952044405,0,0.994025179,0.956045601,0,0,0.999057737,0,0.995713862,0.758242831,0.903828405,0.176250577,0,0.999682173,0.997998305,0.935707696,0.631418765,0.831117168,0.633457124,0.994499713,0.875653081
